Equation_ID,Real Equation,Predicted Equation,Error,Time Taken
I.15.3x,(x-u*t)/sqrt(1-u**2/c**2),"mul(sub(div(add(cos(ARG2), add(ARG2, add(ARG2, ARG1))), add(cos(ARG2), ARG1)), ARG1), add(ARG2, add(ARG2, div(add(ARG2, ARG1), add(ARG3, ARG1)))))","(24251277.356927287,)",8.587270021438599
I.15.3t,(t-u*x/c**2)/sqrt(1-u**2/c**2),"sub(add(add(cos(ARG3), ARG2), ARG2), sin(add(ARG2, sin(add(ARG2, ARG2)))))","(3694.52204010886,)",4.322321653366089
I.15.1,m_0*v/sqrt(1-v**2/c**2),"add(sub(sub(ARG0, ARG2), sqrt(mul(mul(sub(ARG2, ARG1), sqrt(ARG2)), sqrt(ARG2)))), mul(mul(sub(ARG2, ARG1), sqrt(ARG2)), sqrt(ARG2)))","(array([1.79276703e+08]),)",8.79790186882019
I.16.6,(u+v)/(1+u*v/c**2),"sub(ARG0, ARG2)","(152559.0995988624,)",5.050915241241455
I.18.4,(m1*r1+m2*r2)/(m1+m2),"add(sub(ARG0, ARG1), ARG2)","(60961.7331755584,)",5.276080131530762
I.18.12,r*F*sin(theta),"add(add(add(ARG1, ARG1), add(add(ARG1, add(ARG1, add(add(ARG1, add(add(ARG1, add(add(ARG1, add(ARG1, ARG1)), ARG1)), add(ARG1, add(add(ARG1, add(add(ARG1, add(ARG1, ARG1)), ARG1)), ARG1)))), ARG1))), add(ARG1, add(add(ARG1, add(ARG1, add(add(add(ARG1, add(add(ARG1, add(ARG1, ARG1)), add(ARG1, add(add(ARG1, add(add(ARG1, add(ARG1, ARG1)), ARG1)), ARG1)))), ARG1), add(sqrt(sub(ARG0, ARG1)), add(add(ARG1, add(ARG1, ARG1)), ARG1))))), ARG1)))), add(ARG1, add(add(ARG1, add(add(ARG1, add(ARG1, ARG1)), ARG1)), ARG1)))","(array([42801430.60675463]),)",6.4861156940460205
I.18.14,m*r*v*sin(theta),"mul(ARG0, sub(ARG3, sub(sub(ARG2, ARG3), sub(tan(ARG2), sub(ARG1, sub(ARG3, sub(sub(ARG2, ARG3), sub(ARG3, ARG0))))))))","(37246955998.865486,)",5.783759832382202
I.24.6,1/2*m*(omega**2+omega_0**2)*1/2*x**2,"exp(div(ARG0, sqrt(sub(ARG1, ARG3))))","(1.1551022635810249e+19,)",10.871657133102417
I.25.13,q/C,"div(ARG0, ARG1)","(0.0016878727665663267,)",9.606883525848389
I.26.2,arcsin(n*sin(theta2)),sqrt(cos(ARG1)),"(nan,)",4.8783180713653564
I.27.6,1/(1/d1+n/d2),"sin(div(ARG1, add(div(div(ARG0, sin(ARG0)), ARG2), ARG2)))","(0.043296253289662565,)",12.274147987365723
I.29.4,omega/c,"div(ARG0, ARG0)","(0.0016358883531919423,)",9.513015747070312
I.29.16,sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),"sqrt(sub(mul(ARG1, ARG1), add(ARG1, add(ARG0, ARG0))))","(3617.9999539628698,)",8.66348385810852
I.30.3,Int_0*sin(n*theta/2)**2/sin(theta/2)**2,"sub(ARG0, sqrt(sub(div(ARG0, ARG1), mul(ARG1, ARG2))))","(array([8443.06179949]),)",6.238701581954956
I.30.5,arcsin(lambd/(n*d)),"div(div(ARG0, ARG1), ARG2)","(0.0011875373673523363,)",14.46442723274231
I.32.5,q**2*a**2/(6*pi*epsilon*c**3),"div(sub(sin(ARG1), sin(exp(sub(exp(div(ARG1, ARG3)), exp(ARG3))))), sqrt(ARG2))","(0.0555350341836933,)",21.30944323539734
I.32.17,(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),"mul(mul(sqrt(mul(ARG5, ARG1)), mul(sqrt(mul(ARG5, ARG1)), ARG5)), mul(add(ARG3, ARG1), mul(sqrt(mul(ARG5, ARG4)), add(ARG3, mul(sqrt(mul(ARG5, ARG1)), add(ARG3, ARG5))))))","(array([1.7815507e+29]),)",10.126373529434204
I.34.8,q*v*B/p,"mul(add(add(ARG0, ARG0), ARG0), add(add(add(ARG2, ARG0), add(add(add(add(ARG2, ARG2), add(add(ARG0, ARG0), ARG1)), ARG0), ARG0)), ARG0))","(217828455995.64728,)",8.696154594421387
I.34.1,omega_0/(1-v/c),"div(mul(ARG1, ARG1), add(ARG0, ARG0))","(161958.4974089129,)",4.77297306060791
I.34.14,(1+v/c)/sqrt(1-v**2/c**2)*omega_0,"sub(add(sin(sub(ARG1, cos(tan(sub(ARG1, ARG2))))), ARG2), tan(sub(ARG1, ARG2)))","(777.3436032243009,)",6.360671281814575
I.34.27,(h/(2*pi))*omega,"mul(sqrt(ARG1), add(mul(cos(ARG1), ARG0), add(ARG1, ARG0)))","(370794.2804574569,)",9.790232419967651
I.37.4,I1+I2+2*sqrt(I1*I2)*cos(delta),"add(tan(ARG0), ARG1)","(9565.374252327842,)",5.3051981925964355
I.38.12,4*pi*epsilon*(h/(2*pi))**2/(m*q**2),"div(ARG1, ARG3)","(5.072091394640793,)",5.114141225814819
I.39.1,3/2*pr*V,"mul(ARG0, add(ARG1, tan(ARG1)))","(46586022.88952528,)",8.86838960647583
I.39.11,1/(gamma-1)*pr*V,"add(add(tan(ARG0), ARG2), ARG2)","(96607.68100061556,)",6.292976379394531
I.39.22,n*kb*T/V,,0,0.0
I.40.1,n_0*exp(-m*g*x/(kb*T)),sin(ARG0),"(inf,)",10.478909015655518
I.41.16,h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),"div(mul(ARG4, ARG4), ARG3)","(370576.08499792556,)",9.004929542541504
I.43.16,mu_drift*q*Volt/d,"add(ARG1, sub(sub(mul(sqrt(mul(ARG0, ARG0)), ARG3), div(sub(sub(mul(sqrt(mul(ARG0, ARG0)), ARG3), div(ARG1, ARG3)), sub(mul(ARG0, ARG1), ARG1)), ARG3)), sub(mul(ARG0, ARG1), ARG1)))","(473771771.12412053,)",9.821923017501831
I.43.31,mob*kb*T,"add(ARG0, add(mul(add(mul(ARG1, ARG2), tan(ARG2)), ARG0), tan(ARG0)))","(137143.13350340107,)",6.631917476654053
I.43.43,1/(gamma-1)*kb*v/A,"div(ARG2, ARG3)","(9.023992314981884,)",9.256532430648804
I.44.4,n*kb*T*ln(V2/V1),"mul(mul(ARG3, add(add(ARG1, ARG3), ARG1)), ARG0)","(350412825303.32874,)",5.292754888534546
I.47.23,sqrt(gamma*pr/rho),"sqrt(add(add(add(ARG2, add(sub(ARG2, ARG0), ARG1)), add(ARG2, ARG1)), ARG1))","(16.930827374945846,)",7.113091468811035
I.48.2,m*c**2/sqrt(1-v**2/c**2),"mul(ARG2, mul(ARG1, add(add(ARG2, ARG2), ARG2)))","(650034409575.333,)",3.1127936840057373
